season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
1999,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCW
1999,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACC
1999,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
1999,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCW
1999,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCC
1999,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACC
1999,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACC
1999,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
1999,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
1999,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCC
1999,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCC
1999,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACC
1999,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACE
1999,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACC
1999,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
1999,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
1999,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
1999,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
1999,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCC
1999,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
1999,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCW
1999,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
1999,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
1999,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
1999,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCE
1999,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACC
1999,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
1999,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
1999,4600,SEA,Seattle,Seattle Seahawks,Seahawks,AFC,ACW
1999,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCC
1999,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2000,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCW
2000,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACC
2000,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2000,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCW
2000,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCC
2000,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACC
